id,timestamp,x,y,z
-O3cCNukXoUSw2s1H7Oo,2024-08-07 01:01:24,0.061,0.8545,0.5493
-O3cCNwvMip1KBaXI7hC,2024-08-07 01:01:24,0.1831,0.9155,0.4272
-O3cCNz1n4up8wKVbu1P,2024-08-07 01:01:24,0.2441,0.9155,0.3052
-O3cCO0AZ4Zpdqq4weZx,2024-08-07 01:01:24,0.2441,0.9766,0.4272
-O3cCO2IIOdGcJ0DvW5V,2024-08-07 01:01:24,0.2441,0.8545,0.4883
-O3cCO4NB_YdgoVwUomm,2024-08-07 01:01:24,0.2441,0.7324,0.6104
-O3cCO6Q18B-TAiGt-W5,2024-08-07 01:01:24,0.3662,0.7935,0.5493
-O3cCO8_bnkFBVW3GMcn,2024-08-07 01:01:25,0.3662,0.7935,0.4272
-O3cCOApPCI8sNxRgbv6,2024-08-07 01:01:25,0.4272,0.7935,0.2441
-O3cCODFc-KlTViOk48V,2024-08-07 01:01:25,0.4883,0.6714,0.1221
-O3cCOFTmFMR9s2oxXsU,2024-08-07 01:01:25,0.4883,0.5493,0.1831
-O3cCOHYQBH1rwKoQvfC,2024-08-07 01:01:25,0.4883,0.5493,0.3662
-O3cCOJ_8lqMxEzDMX_d,2024-08-07 01:01:25,0.4272,0.5493,0.6104
-O3cCOLTbUdAhJUG4SCi,2024-08-07 01:01:25,0.3662,0.6104,0.5493
-O3cCONckuvxda00839o,2024-08-07 01:01:26,0.3662,0.5493,0.3662
-O3cCOPjeojhAhq05eB1,2024-08-07 01:01:26,0.4272,0.4883,0.061
-O3cCORofUmMZfbsJ_Vn,2024-08-07 01:01:26,0.4272,0.4883,0
-O3cCOTrSpI8IzOTikJZ,2024-08-07 01:01:26,0.3662,0.4272,0.061
-O3cCOW0c3AZ_KLcTTYb,2024-08-07 01:01:26,0.3052,0.2441,0.4272
-O3cCOYHhu4nj5Jfd_5L,2024-08-07 01:01:26,0.2441,0.1831,0.4883
-O3cCO_OmWK3FCbr0hna,2024-08-07 01:01:26,0.1831,0.1831,0.4883
-O3cCObNCPvDlHvKeGYX,2024-08-07 01:01:27,0.3052,0.1831,0.2441
-O3cCOdTQ9psWE0L25sI,2024-08-07 01:01:27,0.3052,0.1831,0.1831
-O3cCOfOy62oIvZxx-3Z,2024-08-07 01:01:27,0.3052,0.1221,0.2441
-O3cCOhHSlCAOBkAkplW,2024-08-07 01:01:27,0.2441,0.061,0.4883
-O3cCOjD8tSv194kSZYZ,2024-08-07 01:01:27,0.2441,0.061,0.6104
-O3cCOlS80IcOe7E0Ph_,2024-08-07 01:01:27,0.3052,0.061,0.6104
-O3cCOnXdp2wFWMZ8i8u,2024-08-07 01:01:27,0.3052,0.1831,0.4272
-O3cCOpsBLodW03ree7V,2024-08-07 01:01:27,0.3662,0.1221,0.4272
-O3cCOrr-2-kjh9kdLTv,2024-08-07 01:01:28,0.3052,0.061,0.4272
-O3cCOtqBl0ztl2fFtZ5,2024-08-07 01:01:28,0.3052,0,0.6104
-O3cCOw1rBxohgADqgzA,2024-08-07 01:01:28,0.3052,0.061,0.6714
-O3cCOy275Z7bfsXqUqL,2024-08-07 01:01:28,0.2441,0.1221,0.7324
-O3cCP-510EyKF_xVUlG,2024-08-07 01:01:28,0.2441,0.1831,0.6714
-O3cCP1DxZAYggkAdpz1,2024-08-07 01:01:28,0.2441,0.1221,0.6104
-O3cCP3Kdnk-EGo8KAZc,2024-08-07 01:01:28,0.3052,0.1221,0.6104
-O3cCP5F4jWkTZjN5tt1,2024-08-07 01:01:28,0.2441,0.1221,0.6714
-O3cCP7euRJI5d2EcchG,2024-08-07 01:01:29,0.2441,0.1831,0.7324
-O3cCP9tTbB98shQtPUe,2024-08-07 01:01:29,0.1831,0.3052,0.7324
-O3cCPCQlDkd-m0c6nr2,2024-08-07 01:01:29,0.1831,0.3662,0.6714
-O3cCPEvb1C-Q57Q1viP,2024-08-07 01:01:29,0.2441,0.3662,0.6714
-O3cCPHf_Kq1fx8X9J4Z,2024-08-07 01:01:29,0.2441,0.3662,0.7324
-O3cCPJg6DPYSlePl6Jh,2024-08-07 01:01:29,0.2441,0.4272,0.8545
-O3cCPLvUIibxK75PfTN,2024-08-07 01:01:30,0.2441,0.4883,0.9155
-O3cCPNmm3gQewDwRy6F,2024-08-07 01:01:30,0.3052,0.5493,0.9155
-O3cCPQ3-f6g6eIqCKw1,2024-08-07 01:01:30,0.4272,0.6104,0.8545
-O3cCPS1dnWVg1LIUPCF,2024-08-07 01:01:30,0.4883,0.6104,0.8545
-O3cCPUWu6wsA2rVa-rJ,2024-08-07 01:01:30,0.4883,0.6714,0.8545
-O3cCPXMOLjIkbfbimJU,2024-08-07 01:01:30,0.5493,0.6104,0.8545
-O3cCPZWqgw3NY3_AbGV,2024-08-07 01:01:30,0.6104,0.6104,0.8545
-O3cCPaVC-rP3_RUOkz4,2024-08-07 01:01:31,0.6104,0.6104,0.9155
-O3cCPcWVXRqTRi2Wtz9,2024-08-07 01:01:31,0.6104,0.7324,0.9155
-O3cCPe_Ot4LDrjnikPr,2024-08-07 01:01:31,0.6104,0.7324,0.9766
